X,elements,lru,lru_2,lfu5,lfu10,lfu20,zipf_best_read,zipf_best_read_history,staticOpt,rand,opt,cf_lru,lru_wsr,lfu10_history3_-5,lfu10_history10_-5,lfu10_history10_-3,lfu10_history10_1,lfu10_history10_3,lfu10_history10_5,lfu10_history10_inf,lfu5_w1,lfu5_w2,lfu5_w3,lfu5_w4,lfu5_w5,lfu5_w6,lfu5_w7,lfu5_w8,lfu5_w9,lfu5_w10,lfu5_w11,lfu5_w12,lfu5_w13,lfu5_w14
3,1000000,397765,398374,398412,398420,398412,398420,398420,398943,397806,388478,397765,397128,398420,398420,398420,398447,398453,398468,398537,397450,397998,398167,398257,398291,398325,398372,398395,398406,398412,398422,398426,398430,398439
4,1000000,397045,397550,397579,397529,397511,397529,397529,398943,397056,383380,396037,396116,397529,397529,397529,397791,397870,397896,397935,394565,396208,396749,397110,397279,397388,397457,397502,397558,397579,397600,397607,397614,397624
5,1000000,396316,396616,396613,396664,396661,396664,396664,398943,396250,378617,395330,395115,396664,396664,396664,396938,397111,397138,397189,390368,393409,394724,395373,395743,396082,396349,396474,396589,396613,396731,396786,396801,396847
6,1000000,395575,395627,395676,395855,395905,395855,395855,388729,395537,373989,393634,394129,395855,395855,395757,395893,396157,396146,396213,385599,390078,392237,393386,394105,394729,395157,395352,395612,395676,395899,395982,396025,396070
7,1000000,394810,394537,394601,394958,395101,394958,394958,381397,394711,369603,392876,393094,394958,394958,394629,394833,395097,395149,395181,381457,386399,389085,390783,391894,393059,393666,394018,394383,394601,394901,395159,395224,395297
8,1000000,394072,393236,393300,393321,393493,393321,393321,381397,393947,365413,391218,392119,393321,393321,393474,393579,393901,393890,393878,377715,382159,385393,388020,389567,391184,392005,392563,392949,393300,393482,393817,394087,394203
9,1000000,393336,391461,391719,391843,391835,391843,391843,380483,393257,361343,390525,391149,391843,391843,391899,392333,392615,392588,392578,374569,378605,381906,384843,387020,388388,389757,390456,391337,391719,392098,392316,392658,392784
10,1000000,392624,389939,389931,390221,390228,390221,389908,374378,392560,357400,388839,390082,389908,389893,390080,390866,391207,391255,391239,371187,375637,379269,381885,383825,385763,387062,388340,389345,389931,390603,390911,391259,391473
11,1000000,391880,388008,387962,387644,387689,387644,387784,374378,391759,353588,388189,389125,387784,387811,388235,389296,389836,389859,389849,367978,372879,376069,379327,381004,383147,384646,385525,386711,387962,388803,389165,389738,390020
12,1000000,391129,386113,385341,385613,384908,385613,385776,374378,390877,349993,386575,388181,385776,385757,386340,387615,388437,388423,388389,364655,369923,373583,376167,378714,380565,382091,383179,384464,385341,386418,387105,387815,388342
13,1000000,390387,383767,383160,382883,382185,382883,383364,369254,390150,346434,385841,387184,383364,383299,384387,386056,387008,387001,386967,361751,367590,370911,374079,376324,377801,379184,381242,382323,383160,384455,385078,385931,386555
14,1000000,389603,381573,380526,380612,380227,380612,380859,368643,389611,343019,384193,386178,380859,380881,382018,384335,385434,385442,385428,359246,364904,368376,370862,373777,375721,377052,378752,379596,380526,381903,382696,383453,384369
15,1000000,388884,379856,378315,378569,377959,378569,379494,364075,388676,339719,383420,385129,379494,379481,380529,382781,383954,383913,383870,356505,361595,365717,368744,371614,373587,375051,376686,377675,378315,379402,380594,381554,382546
16,1000000,388160,377647,376478,376787,376415,376787,377412,364075,387925,336520,381689,384035,377412,377470,378600,381023,382353,382382,382347,353961,359210,363413,366635,369099,371536,372739,374446,375801,376478,377672,378354,379811,380826
17,1000000,387453,375969,374780,374940,374571,374940,375703,359971,387042,333451,380910,383033,375703,375700,376648,379417,380846,380812,380794,351802,357249,361096,364940,367132,369425,370567,372580,373425,374780,375693,376536,377811,379161
18,1000000,386679,373803,372892,373106,372982,373106,374399,356133,386150,330407,379239,381963,374399,374346,375109,377731,379282,379215,379195,349074,355103,358828,362502,364910,366541,368605,370094,371755,372892,374805,375097,376467,377329
19,1000000,385858,372562,371309,371609,371880,371609,372323,356133,385512,327431,378477,380909,372323,372186,373420,375983,377686,377601,377595,346613,352510,356450,360072,362873,364782,366517,368318,369960,371309,372438,373399,374455,375865
20,1000000,385074,370569,369958,369931,370552,369931,371072,354955,384693,324563,376835,379844,371072,371105,371776,374323,376010,375963,375953,344233,349981,354360,357638,360655,363133,364927,366999,368624,369958,371135,371775,372713,373809
30,1000000,376841,353929,353466,353408,353201,353408,355541,332848,376805,299546,364919,369425,355541,355497,356933,359735,361428,361392,361389,323559,329139,334257,338448,342173,344749,348200,349876,352450,353466,355146,355969,357613,358331
40,1000000,368579,337970,336489,336869,336398,336869,340672,312882,369217,278637,353355,358999,340672,340750,342453,346254,348185,348181,348180,306560,311762,317496,321249,324505,328534,330720,333206,334904,336489,338142,339941,342083,343104
50,1000000,360275,323254,322699,321603,320573,321603,326289,299803,361271,260807,341909,348881,326289,326348,328784,333514,335230,335227,335227,291112,296688,302620,305784,309398,312461,315489,317869,319959,322699,324449,325977,328148,328693
60,1000000,351918,308258,308599,307820,306972,307820,313677,288964,353674,244909,330617,338522,313677,313743,315899,321365,323267,323266,323266,277794,283246,287909,292732,295473,298555,301968,304076,306781,308599,311325,312426,314335,316302
70,1000000,343552,296697,294988,295320,294923,295320,301644,275666,345990,230445,319682,328488,301644,301654,304003,310096,311493,311493,311493,265127,270260,275828,280528,283769,286815,289459,291503,293490,294988,297742,298932,302632,302276
80,1000000,335002,284945,283486,284240,282322,284240,290607,262037,338373,217198,309002,318651,290607,290587,292810,299295,300479,300479,300479,253953,258841,262954,268298,271888,274655,277926,279400,282194,283486,286174,287447,289710,291066
90,1000000,326767,274720,272794,272443,272681,272443,279942,251091,331225,205075,298767,309190,279942,279872,282686,288766,289830,289830,289830,243322,247713,251667,255613,259511,263818,266662,269413,271734,272794,274865,277419,278471,280872
100,1000000,318624,263878,262432,260998,261951,260998,269973,239243,323561,193852,288523,299911,269973,269920,272582,278942,279662,279662,279662,232664,237667,241626,244911,249545,252635,255729,258160,260892,262432,264160,267574,269011,271678
200,1000000,241994,177188,174569,174691,172894,174691,185605,149763,254874,112332,197381,215259,185605,185620,188950,193310,193309,193309,193309,147115,149920,153793,158695,160742,164305,167228,169952,171809,174569,176867,178681,180911,182772
300,1000000,172813,106960,107053,106392,107427,106392,117924,81583,193701,62235,117639,142369,117924,118029,121567,123006,123006,123006,123006,80979,83232,87136,90680,94512,96609,99295,101009,103952,107053,110179,112437,114333,115712
400,1000000,111098,52577,51327,50608,50276,50608,62678,23347,138048,30104,47408,80307,62678,62666,64529,64539,64539,64539,64539,23569,25213,27808,31595,34659,38362,41261,44714,47334,51327,53479,57717,58438,62233
500,1000000,59110,12434,10023,9546,9057,9546,20556,400,89151,11215,401,31635,20556,20489,20523,20523,20523,20523,20523,1890,2600,2672,3045,3506,5466,6136,7673,8932,10023,13086,13950,15895,18184
600,1000000,20267,883,802,802,802,802,1563,400,48188,2386,400,4831,1563,1583,1583,1583,1583,1583,1583,403,433,439,505,511,521,559,647,800,802,827,879,947,1200
700,1000000,1725,401,401,401,401,401,401,400,15755,464,400,424,401,401,401,401,401,401,401,400,400,400,400,400,400,400,400,400,401,401,401,401,404
800,1000000,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
