X,elements,lru,rand,opt,cf_lru,lru_wsr,lfu_5,lfu_5_w1,zipf_best_read,staticOpt,lfu20,lfu5_w03,lfu5_w05,lfu5_w01,lfu5_w2,lfu5_w5,lfu5_w7,lfu20_h20_-1,lfu1_h1_-2,lfu1_h1_-1,lfu1_h1_2,lfu1_h1_inf,lfu3_h1_-2,lfu3_h1_-1,lfu3_h1_2,lfu3_h1_inf,lfu3_h3_-2,lfu3_h3_-1,lfu3_h3_2,lfu3_h3_inf,lfu5_h1_-2,lfu5_h1_-1,lfu5_h1_2,lfu5_h1_inf,lfu5_h3_-2,lfu5_h3_-1,lfu5_h3_2,lfu5_h3_inf,lfu5_h5_-2,lfu5_h5_-1,lfu5_h5_2,lfu5_h5_inf,lfu10_h1_-2,lfu10_h1_-1,lfu10_h1_2,lfu10_h1_inf,lfu10_h3_-2,lfu10_h3_-1,lfu10_h3_2,lfu10_h3_inf,lfu10_h5_-2,lfu10_h5_-1,lfu10_h5_2,lfu10_h5_inf,lfu10_h10_-2,lfu10_h10_-1,lfu10_h10_2,lfu10_h10_inf,lfu20_h1_-2,lfu20_h1_-1,lfu20_h1_2,lfu20_h1_inf,lfu20_h3_-2,lfu20_h3_-1,lfu20_h3_2,lfu20_h3_inf,lfu20_h5_-2,lfu20_h5_-1,lfu20_h5_2,lfu20_h5_inf,lfu20_h10_-2,lfu20_h10_-1,lfu20_h10_2,lfu20_h10_inf,lfu20_h20_-2,lfu20_h20_-1,lfu20_h20_2,lfu20_h20_inf,lfu50_h1_-2,lfu50_h1_-1,lfu50_h1_2,lfu50_h1_inf,lfu50_h3_-2,lfu50_h3_-1,lfu50_h3_2,lfu50_h3_inf,lfu50_h5_-2,lfu50_h5_-1,lfu50_h5_2,lfu50_h5_inf,lfu50_h10_-2,lfu50_h10_-1,lfu50_h10_2,lfu50_h10_inf,lfu50_h20_-2,lfu50_h20_-1,lfu50_h20_2,lfu50_h20_inf,lfu50_h50_-2,lfu50_h50_-1,lfu50_h50_2,lfu50_h50_inf,lfu1_w03,lfu1_w01,lfu1_w05,lfu1_w1,lfu1_w2,rand,lfu1_w7,lfu3_w03,lfu3_w01,lfu3_w05,lfu3_w1,lfu3_w2,lfu3_w7,lfu5_w03,lfu5_w01,lfu5_w05,lfu5_w1,lfu5_w2,lfu5_w7,lfu10_w03,lfu10_w01,lfu10_w05,lfu10_w1,lfu10_w2,lfu10_w7,lfu20_w03,lfu20_w01,lfu20_w05,lfu20_w1,lfu20_w2,lfu20_w7,lfu50_w03,lfu50_w01,lfu50_w05,lfu50_w1,lfu50_w2,lfu50_w7
3,847042,129426,122502,119115,129426,128254,86566,91406,86526,162328,86565,120997,105847,141584,87145,87103,86556,87293,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87256,87256,87256,87256,87256,122418,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256
4,847042,126879,114976,81422,86638,87737,84500,84552,85403,162328,85468,104467,91122,131636,85010,85499,85502,86320,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,85694,85694,85694,85694,85694,115059,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694
5,847042,126508,108619,79661,85557,85029,80220,82403,80608,153822,82503,91888,83002,122273,82864,80942,80822,85225,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,83669,83669,83669,83669,83669,108408,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669
6,847042,84482,103050,78727,79963,80451,79127,79985,79136,145835,79431,83461,80663,114231,78546,79395,79144,83892,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,80959,80959,80959,80959,80959,103197,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959
7,847042,80182,99468,78026,79649,79950,78336,77564,78293,141647,78716,80380,79495,107017,76931,78537,78501,82602,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,79108,79108,79108,79108,79108,99358,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108
8,847042,79822,96408,77310,79381,79716,77595,75693,77839,141647,77932,79072,78125,100981,75830,77935,77928,81435,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,78129,78129,78129,78129,78129,96159,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129
9,847042,79643,93818,76617,79212,79549,76924,74581,77058,137160,77194,78112,76338,95784,75075,76892,77048,80187,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,77258,77258,77258,77258,77258,93870,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258
10,847042,79553,91776,75972,78771,79405,76343,73689,76332,132707,76527,76542,74510,91349,74351,76079,76357,78241,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,76518,76518,76518,76518,76518,91965,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518
11,847042,79472,90197,75316,78599,79279,75787,72691,75678,128270,75875,74565,72544,87431,73672,75253,75692,77105,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,75775,75775,75775,75775,75775,90179,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775
12,847042,79361,88828,74609,78214,79072,75146,71431,74986,123830,75207,72390,70893,83821,72919,74510,74949,76373,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,74917,74917,74917,74917,74917,88794,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917
