X,elements,lru,lfu1_h1_-2,lfu1_h1_-1,lfu1_h1_2,lfu1_h1_inf,lfu3_h1_-2,lfu3_h1_-1,lfu3_h1_2,lfu3_h1_inf,lfu3_h3_-2,lfu3_h3_-1,lfu3_h3_2,lfu3_h3_inf,lfu5_h1_-2,lfu5_h1_-1,lfu5_h1_2,lfu5_h1_inf,lfu5_h3_-2,lfu5_h3_-1,lfu5_h3_2,lfu5_h3_inf,lfu5_h5_-2,lfu5_h5_-1,lfu5_h5_2,lfu5_h5_inf,lfu10_h1_-2,lfu10_h1_-1,lfu10_h1_2,lfu10_h1_inf,lfu10_h3_-2,lfu10_h3_-1,lfu10_h3_2,lfu10_h3_inf,lfu10_h5_-2,lfu10_h5_-1,lfu10_h5_2,lfu10_h5_inf,lfu10_h10_-2,lfu10_h10_-1,lfu10_h10_2,lfu10_h10_inf,lfu20_h1_-2,lfu20_h1_-1,lfu20_h1_2,lfu20_h1_inf,lfu20_h3_-2,lfu20_h3_-1,lfu20_h3_2,lfu20_h3_inf,lfu20_h5_-2,lfu20_h5_-1,lfu20_h5_2,lfu20_h5_inf,lfu20_h10_-2,lfu20_h10_-1,lfu20_h10_2,lfu20_h10_inf,lfu20_h20_-2,lfu20_h20_-1,lfu20_h20_2,lfu20_h20_inf,lfu50_h1_-2,lfu50_h1_-1,lfu50_h1_2,lfu50_h1_inf,lfu50_h3_-2,lfu50_h3_-1,lfu50_h3_2,lfu50_h3_inf,lfu50_h5_-2,lfu50_h5_-1,lfu50_h5_2,lfu50_h5_inf,lfu50_h10_-2,lfu50_h10_-1,lfu50_h10_2,lfu50_h10_inf,lfu50_h20_-2,lfu50_h20_-1,lfu50_h20_2,lfu50_h20_inf,lfu50_h50_-2,lfu50_h50_-1,lfu50_h50_2,lfu50_h50_inf,lfu1_w03,lfu1_w01,lfu1_w05,lfu1_w1,lfu1_w2,rand,opt,cf_lru,lru_wsr,lfu1_w7,lfu3_w03,lfu3_w01,lfu3_w05,lfu3_w1,lfu3_w2,lfu3_w7,lfu5_w03,lfu5_w01,lfu5_w05,lfu5_w1,lfu5_w2,lfu5_w7,lfu10_w03,lfu10_w01,lfu10_w05,lfu10_w1,lfu10_w2,lfu10_w7,lfu20_w03,lfu20_w01,lfu20_w05,lfu20_w1,lfu20_w2,lfu20_w7,lfu50_w03,lfu50_w01,lfu50_w05,lfu50_w1,lfu50_w2,lfu50_w7
3,847042,432755,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,548679,548679,548679,548679,548679,437983,326417,432755,455442,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679
4,847042,423801,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,515592,515592,515592,515592,515592,400473,275759,387949,391181,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592
5,847042,422208,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,469724,469724,469724,469724,469724,369394,231271,382034,384885,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724
6,847042,260389,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,433332,433332,433332,433332,433332,345251,218892,362258,269801,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332
7,847042,245609,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,383946,383946,383946,383946,383946,326104,209526,264146,263612,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946
8,847042,242140,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,354040,354040,354040,354040,354040,310522,201975,258876,256804,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040
9,847042,240250,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,343572,343572,343572,343572,343572,298272,195446,236947,246834,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572
10,847042,237786,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,333537,333537,333537,333537,333537,288272,189576,231165,242391,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537
11,847042,235806,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,324316,324316,324316,324316,324316,279091,184173,223589,238564,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316
12,847042,232863,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,313851,313851,313851,313851,313851,271071,179071,218314,234332,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851
