X,elements,lru,lfu1_h1_-2,lfu1_h1_-1,lfu1_h1_2,lfu1_h1_inf,lfu3_h1_-2,lfu3_h1_-1,lfu3_h1_2,lfu3_h1_inf,lfu3_h3_-2,lfu3_h3_-1,lfu3_h3_2,lfu3_h3_inf,lfu5_h1_-2,lfu5_h1_-1,lfu5_h1_2,lfu5_h1_inf,lfu5_h3_-2,lfu5_h3_-1,lfu5_h3_2,lfu5_h3_inf,lfu5_h5_-2,lfu5_h5_-1,lfu5_h5_2,lfu5_h5_inf,lfu10_h1_-2,lfu10_h1_-1,lfu10_h1_2,lfu10_h1_inf,lfu10_h3_-2,lfu10_h3_-1,lfu10_h3_2,lfu10_h3_inf,lfu10_h5_-2,lfu10_h5_-1,lfu10_h5_2,lfu10_h5_inf,lfu10_h10_-2,lfu10_h10_-1,lfu10_h10_2,lfu10_h10_inf,lfu20_h1_-2,lfu20_h1_-1,lfu20_h1_2,lfu20_h1_inf,lfu20_h3_-2,lfu20_h3_-1,lfu20_h3_2,lfu20_h3_inf,lfu20_h5_-2,lfu20_h5_-1,lfu20_h5_2,lfu20_h5_inf,lfu20_h10_-2,lfu20_h10_-1,lfu20_h10_2,lfu20_h10_inf,lfu20_h20_-2,lfu20_h20_-1,lfu20_h20_2,lfu20_h20_inf,lfu50_h1_-2,lfu50_h1_-1,lfu50_h1_2,lfu50_h1_inf,lfu50_h3_-2,lfu50_h3_-1,lfu50_h3_2,lfu50_h3_inf,lfu50_h5_-2,lfu50_h5_-1,lfu50_h5_2,lfu50_h5_inf,lfu50_h10_-2,lfu50_h10_-1,lfu50_h10_2,lfu50_h10_inf,lfu50_h20_-2,lfu50_h20_-1,lfu50_h20_2,lfu50_h20_inf,lfu50_h50_-2,lfu50_h50_-1,lfu50_h50_2,lfu50_h50_inf,lfu1_w03,lfu1_w01,lfu1_w05,lfu1_w1,lfu1_w2,rand,opt,cf_lru,lru_wsr,lfu1_w7,lfu3_w03,lfu3_w01,lfu3_w05,lfu3_w1,lfu3_w2,lfu3_w7,lfu5_w03,lfu5_w01,lfu5_w05,lfu5_w1,lfu5_w2,lfu5_w7,lfu10_w03,lfu10_w01,lfu10_w05,lfu10_w1,lfu10_w2,lfu10_w7,lfu20_w03,lfu20_w01,lfu20_w05,lfu20_w1,lfu20_w2,lfu20_w7,lfu50_w03,lfu50_w01,lfu50_w05,lfu50_w1,lfu50_w2,lfu50_w7
3,847042,129426,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87256,87256,87256,87256,87256,122418,119115,129426,128254,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256,87256
4,847042,126879,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,86366,85694,85694,85694,85694,85694,115059,81422,86638,87737,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694,85694
5,847042,126508,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,83669,83669,83669,83669,83669,108408,79661,85557,85029,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669,83669
6,847042,84482,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,84103,80959,80959,80959,80959,80959,103197,78727,79963,80451,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959,80959
7,847042,80182,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,83001,79108,79108,79108,79108,79108,99358,78026,79649,79950,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108,79108
8,847042,79822,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,81647,78129,78129,78129,78129,78129,96159,77310,79381,79716,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129,78129
9,847042,79643,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,80744,77258,77258,77258,77258,77258,93870,76617,79212,79549,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258,77258
10,847042,79553,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,79455,76518,76518,76518,76518,76518,91965,75972,78771,79405,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518,76518
11,847042,79472,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,77773,75775,75775,75775,75775,75775,90179,75316,78599,79279,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775,75775
12,847042,79361,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,76579,74917,74917,74917,74917,74917,88794,74609,78214,79072,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917,74917
